Iegravecyr	uni0400
Iocyr	uni0401
Djecyr	uni0402
Gjecyr	uni0403
Eukrcyr	uni0404
Dzecyr	uni0405
Iukrcyr	uni0406
Yukrcyr	uni0407
Jecyr	uni0408
Ljecyr	uni0409
Njecyr	uni040A
Tshecyr	uni040B
Kjecyr	uni040C
Igravecyr	uni040D
Ushortcyr	uni040E
Dzhecyr	uni040F
Acyr	uni0410
Becyr	uni0411
Vecyr	uni0412
Gecyr	uni0413
Decyr	uni0414
Iecyr	uni0415
Zhecyr	uni0416
Zecyr	uni0417
Icyr	uni0418
Ishortcyr	uni0419
Kacyr	uni041A
Elcyr	uni041B
Emcyr	uni041C
Encyr	uni041D
Ocyr	uni041E
Pecyr	uni041F
Ercyr	uni0420
Escyr	uni0421
Tecyr	uni0422
Ucyr	uni0423
Efcyr	uni0424
Hacyr	uni0425
Tsecyr	uni0426
Checyr	uni0427
Shacyr	uni0428
Shchacyr	uni0429
Hardcyr	uni042A
Ylongcyr	uni042B
Softcyr	uni042C
Ereversedcyr	uni042D
Yucyr	uni042E
Yacyr	uni042F
acyr	uni0430
becyr	uni0431
vecyr	uni0432
gecyr	uni0433
decyr	uni0434
iecyr	uni0435
zhecyr	uni0436
zecyr	uni0437
icyr	uni0438
ishortcyr	uni0439
kacyr	uni043A
elcyr	uni043B
emcyr	uni043C
encyr	uni043D
ocyr	uni043E
pecyr	uni043F
ercyr	uni0440
escyr	uni0441
tecyr	uni0442
ucyr	uni0443
efcyr	uni0444
hacyr	uni0445
tsecyr	uni0446
checyr	uni0447
shacyr	uni0448
shchacyr	uni0449
hardcyr	uni044A
ylongcyr	uni044B
softcyr	uni044C
ereversedcyr	uni044D
yucyr	uni044E
yacyr	uni044F
iegravecyr	uni0450
iocyr	uni0451
djecyr	uni0452
gjecyr	uni0453
eukrcyr	uni0454
dzecyr	uni0455
iukrcyr	uni0456
yukrcyr	uni0457
jecyr	uni0458
ljecyr	uni0459
njecyr	uni045A
tshecyr	uni045B
kjecyr	uni045C
igravecyr	uni045D
ushortcyr	uni045E
dzhecyr	uni045F
Omegacyr	uni0460
omegacyr	uni0461
Yatcyr	uni0462
yatcyr	uni0463
Eiotifiedcyr	uni0464
eiotifiedcyr	uni0465
Yuslittlecyr	uni0466
yuslittlecyr	uni0467
Yuslittleiotifiedcyr	uni0468
yuslittleiotifiedcyr	uni0469
Yusbigcyr	uni046A
yusbigcyr	uni046B
Yusbigiotifiedcyr	uni046C
yusbigiotifiedcyr	uni046D
Ksicyr	uni046E
ksicyr	uni046F
Psicyr	uni0470
psicyr	uni0471
Fitacyr	uni0472
fitacyr	uni0473
Izhitsacyr	uni0474
izhitsacyr	uni0475
Izhitsagravedblcyr	uni0476
izhitsagravedblcyr	uni0477
Ukcyr	uni0478
ukcyr	uni0479
Omegaroundcyr	uni047A
omegaroundcyr	uni047B
Omegatitlocyr	uni047C
omegatitlocyr	uni047D
Otcyr	uni047E
otcyr	uni047F
Koppacyr	uni0480
koppacyr	uni0481
thousandscyr	uni0482
titlocombcyr	uni0483
palatcombcyr	uni0484
pokrytiecombcyr	uni0487
hundredthousandscombcyr	uni0488
millionscombcyr	uni0489
Ishortsharptailcyr	uni048A
ishortsharptailcyr	uni048B
Semisoftcyr	uni048C
semisoftcyr	uni048D
Ertickcyr	uni048E
ertickcyr	uni048F
Geupcyr	uni0490
geupcyr	uni0491
Gestrokecyr	uni0492
gestrokecyr	uni0493
Gehookcyr	uni0494
gehookcyr	uni0495
Zhetailcyr	uni0496
zhetailcyr	uni0497
Zetailcyr	uni0498
zetailcyr	uni0499
Katailcyr	uni049A
katailcyr	uni049B
Kaverticalstrokecyr	uni049C
kaverticalstrokecyr	uni049D
Kastrokecyr	uni049E
kastrokecyr	uni049F
Kabashkcyr	uni04A0
kabashkcyr	uni04A1
Entailcyr	uni04A2
entailcyr	uni04A3
Engecyr	uni04A4
engecyr	uni04A5
Pehookcyr	uni04A6
pehookcyr	uni04A7
Haabkhcyr	uni04A8
haabkhcyr	uni04A9
Estailcyr	uni04AA
estailcyr	uni04AB
Tetailcyr	uni04AC
tetailcyr	uni04AD
Ustraightcyr	uni04AE
ustraightcyr	uni04AF
Ustraightstrokecyr	uni04B0
ustraightstrokecyr	uni04B1
Xatailcyr	uni04B2
xatailcyr	uni04B3
Tetsecyr	uni04B4
tetsecyr	uni04B5
Chetailcyr	uni04B6
chetailcyr	uni04B7
Chevertcyr	uni04B8
chevertcyr	uni04B9
Shhacyr	uni04BA
shhacyr	uni04BB
Cheabkhcyr	uni04BC
cheabkhcyr	uni04BD
Cheabkhtailcyr	uni04BE
cheabkhtailcyr	uni04BF
Palochkacyr	uni04C0
Zhebrevecyr	uni04C1
zhebrevecyr	uni04C2
Kahookcyr	uni04C3
kahookcyr	uni04C4
Elsharptailcyr	uni04C5
elsharptailcyr	uni04C6
Enhookcyr	uni04C7
enhookcyr	uni04C8
Ensharptailcyr	uni04C9
ensharptailcyr	uni04CA
Chekhakascyr	uni04CB
chekhakascyr	uni04CC
Emsharptailcyr	uni04CD
emsharptailcyr	uni04CE
palochkacyr	uni04CF
Abrevecyr	uni04D0
abrevecyr	uni04D1
Adieresiscyr	uni04D2
adieresiscyr	uni04D3
Aiecyr	uni04D4
aiecyr	uni04D5
Iebrevecyr	uni04D6
iebrevecyr	uni04D7
Schwacyr	uni04D8
schwacyr	uni04D9
Schwadieresiscyr	uni04DA
schwadieresiscyr	uni04DB
Zhedieresiscyr	uni04DC
zhedieresiscyr	uni04DD
Zedieresiscyr	uni04DE
zedieresiscyr	uni04DF
Dzeabkhcyr	uni04E0
dzeabkhcyr	uni04E1
Imacroncyr	uni04E2
imacroncyr	uni04E3
Idieresiscyr	uni04E4
idieresiscyr	uni04E5
Odieresiscyr	uni04E6
odieresiscyr	uni04E7
Obarcyr	uni04E8
obarcyr	uni04E9
Obardieresiscyr	uni04EA
obardieresiscyr	uni04EB
Ereverseddieresiscyr	uni04EC
ereverseddieresiscyr	uni04ED
Umacroncyr	uni04EE
umacroncyr	uni04EF
Udieresiscyr	uni04F0
udieresiscyr	uni04F1
Uacutedblcyr	uni04F2
uacutedblcyr	uni04F3
Chedieresiscyr	uni04F4
chedieresiscyr	uni04F5
Getailcyr	uni04F6
getailcyr	uni04F7
Ylongdieresiscyr	uni04F8
ylongdieresiscyr	uni04F9
Gehookstrokecyr	uni04FA
gehookstrokecyr	uni04FB
Hahookcyr	uni04FC
hahookcyr	uni04FD
Hastrokecyr	uni04FE
hastrokecyr	uni04FF
Dekomicyr	uni0500
dekomicyr	uni0501
Djekomicyr	uni0502
djekomicyr	uni0503
Zjekomicyr	uni0504
zjekomicyr	uni0505
Dzjekomicyr	uni0506
dzjekomicyr	uni0507
Ljekomicyr	uni0508
ljekomicyr	uni0509
Njekomicyr	uni050A
njekomicyr	uni050B
Sjekomicyr	uni050C
sjekomicyr	uni050D
Tjekomicyr	uni050E
tjekomicyr	uni050F
Reversedzecyr	uni0510
reversedzecyr	uni0511
Elhookcyr	uni0512
elhookcyr	uni0513
Lhacyr	uni0514
