uni0400	Iegravecyr
uni0401	Iocyr
uni0402	Djecyr
uni0403	Gjecyr
uni0404	Eukrcyr
uni0405	Dzecyr
uni0406	Iukrcyr
uni0407	Yukrcyr
uni0408	Jecyr
uni0409	Ljecyr
uni040A	Njecyr
uni040B	Tshecyr
uni040C	Kjecyr
uni040D	Igravecyr
uni040E	Ushortcyr
uni040F	Dzhecyr
uni0410	Acyr
uni0411	Becyr
uni0412	Vecyr
uni0413	Gecyr
uni0414	Decyr
uni0415	Iecyr
uni0416	Zhecyr
uni0417	Zecyr
uni0418	Icyr
uni0419	Ishortcyr
uni041A	Kacyr
uni041B	Elcyr
uni041C	Emcyr
uni041D	Encyr
uni041E	Ocyr
uni041F	Pecyr
uni0420	Ercyr
uni0421	Escyr
uni0422	Tecyr
uni0423	Ucyr
uni0424	Efcyr
uni0425	Hacyr
uni0426	Tsecyr
uni0427	Checyr
uni0428	Shacyr
uni0429	Shchacyr
uni042A	Hardcyr
uni042B	Ylongcyr
uni042C	Softcyr
uni042D	Ereversedcyr
uni042E	Yucyr
uni042F	Yacyr
uni0430	acyr
uni0431	becyr
uni0432	vecyr
uni0433	gecyr
uni0434	decyr
uni0435	iecyr
uni0436	zhecyr
uni0437	zecyr
uni0438	icyr
uni0439	ishortcyr
uni043A	kacyr
uni043B	elcyr
uni043C	emcyr
uni043D	encyr
uni043E	ocyr
uni043F	pecyr
uni0440	ercyr
uni0441	escyr
uni0442	tecyr
uni0443	ucyr
uni0444	efcyr
uni0445	hacyr
uni0446	tsecyr
uni0447	checyr
uni0448	shacyr
uni0449	shchacyr
uni044A	hardcyr
uni044B	ylongcyr
uni044C	softcyr
uni044D	ereversedcyr
uni044E	yucyr
uni044F	yacyr
uni0450	iegravecyr
uni0451	iocyr
uni0452	djecyr
uni0453	gjecyr
uni0454	eukrcyr
uni0455	dzecyr
uni0456	iukrcyr
uni0457	yukrcyr
uni0458	jecyr
uni0459	ljecyr
uni045A	njecyr
uni045B	tshecyr
uni045C	kjecyr
uni045D	igravecyr
uni045E	ushortcyr
uni045F	dzhecyr
uni0460	Omegacyr
uni0461	omegacyr
uni0462	Yatcyr
uni0463	yatcyr
uni0464	Eiotifiedcyr
uni0465	eiotifiedcyr
uni0466	Yuslittlecyr
uni0467	yuslittlecyr
uni0468	Yuslittleiotifiedcyr
uni0469	yuslittleiotifiedcyr
uni046A	Yusbigcyr
uni046B	yusbigcyr
uni046C	Yusbigiotifiedcyr
uni046D	yusbigiotifiedcyr
uni046E	Ksicyr
uni046F	ksicyr
uni0470	Psicyr
uni0471	psicyr
uni0472	Fitacyr
uni0473	fitacyr
uni0474	Izhitsacyr
uni0475	izhitsacyr
uni0476	Izhitsagravedblcyr
uni0477	izhitsagravedblcyr
uni0478	Ukcyr
uni0479	ukcyr
uni047A	Omegaroundcyr
uni047B	omegaroundcyr
uni047C	Omegatitlocyr
uni047D	omegatitlocyr
uni047E	Otcyr
uni047F	otcyr
uni0480	Koppacyr
uni0481	koppacyr
uni0482	thousandscyr
uni0483	titlocombcyr
uni0484	palatcombcyr
uni0487	pokrytiecombcyr
uni0488	hundredthousandscombcyr
uni0489	millionscombcyr
uni048A	Ishortsharptailcyr
uni048B	ishortsharptailcyr
uni048C	Semisoftcyr
uni048D	semisoftcyr
uni048E	Ertickcyr
uni048F	ertickcyr
uni0490	Geupcyr
uni0491	geupcyr
uni0492	Gestrokecyr
uni0493	gestrokecyr
uni0494	Gehookcyr
uni0495	gehookcyr
uni0496	Zhetailcyr
uni0497	zhetailcyr
uni0498	Zetailcyr
uni0499	zetailcyr
uni049A	Katailcyr
uni049B	katailcyr
uni049C	Kaverticalstrokecyr
uni049D	kaverticalstrokecyr
uni049E	Kastrokecyr
uni049F	kastrokecyr
uni04A0	Kabashkcyr
uni04A1	kabashkcyr
uni04A2	Entailcyr
uni04A3	entailcyr
uni04A4	Engecyr
uni04A5	engecyr
uni04A6	Pehookcyr
uni04A7	pehookcyr
uni04A8	Haabkhcyr
uni04A9	haabkhcyr
uni04AA	Estailcyr
uni04AB	estailcyr
uni04AC	Tetailcyr
uni04AD	tetailcyr
uni04AE	Ustraightcyr
uni04AF	ustraightcyr
uni04B0	Ustraightstrokecyr
uni04B1	ustraightstrokecyr
uni04B2	Xatailcyr
uni04B3	xatailcyr
uni04B4	Tetsecyr
uni04B5	tetsecyr
uni04B6	Chetailcyr
uni04B7	chetailcyr
uni04B8	Chevertcyr
uni04B9	chevertcyr
uni04BA	Shhacyr
uni04BB	shhacyr
uni04BC	Cheabkhcyr
uni04BD	cheabkhcyr
uni04BE	Cheabkhtailcyr
uni04BF	cheabkhtailcyr
uni04C0	Palochkacyr
uni04C1	Zhebrevecyr
uni04C2	zhebrevecyr
uni04C3	Kahookcyr
uni04C4	kahookcyr
uni04C5	Elsharptailcyr
uni04C6	elsharptailcyr
uni04C7	Enhookcyr
uni04C8	enhookcyr
uni04C9	Ensharptailcyr
uni04CA	ensharptailcyr
uni04CB	Chekhakascyr
uni04CC	chekhakascyr
uni04CD	Emsharptailcyr
uni04CE	emsharptailcyr
uni04CF	palochkacyr
uni04D0	Abrevecyr
uni04D1	abrevecyr
uni04D2	Adieresiscyr
uni04D3	adieresiscyr
uni04D4	Aiecyr
uni04D5	aiecyr
uni04D6	Iebrevecyr
uni04D7	iebrevecyr
uni04D8	Schwacyr
uni04D9	schwacyr
uni04DA	Schwadieresiscyr
uni04DB	schwadieresiscyr
uni04DC	Zhedieresiscyr
uni04DD	zhedieresiscyr
uni04DE	Zedieresiscyr
uni04DF	zedieresiscyr
uni04E0	Dzeabkhcyr
uni04E1	dzeabkhcyr
uni04E2	Imacroncyr
uni04E3	imacroncyr
uni04E4	Idieresiscyr
uni04E5	idieresiscyr
uni04E6	Odieresiscyr
uni04E7	odieresiscyr
uni04E8	Obarcyr
uni04E9	obarcyr
uni04EA	Obardieresiscyr
uni04EB	obardieresiscyr
uni04EC	Ereverseddieresiscyr
uni04ED	ereverseddieresiscyr
uni04EE	Umacroncyr
uni04EF	umacroncyr
uni04F0	Udieresiscyr
uni04F1	udieresiscyr
uni04F2	Uacutedblcyr
uni04F3	uacutedblcyr
uni04F4	Chedieresiscyr
uni04F5	chedieresiscyr
uni04F6	Getailcyr
uni04F7	getailcyr
uni04F8	Ylongdieresiscyr
uni04F9	ylongdieresiscyr
uni04FA	Gehookstrokecyr
uni04FB	gehookstrokecyr
uni04FC	Hahookcyr
uni04FD	hahookcyr
uni04FE	Hastrokecyr
uni04FF	hastrokecyr
uni0500	Dekomicyr
uni0501	dekomicyr
uni0502	Djekomicyr
uni0503	djekomicyr
uni0504	Zjekomicyr
uni0505	zjekomicyr
uni0506	Dzjekomicyr
uni0507	dzjekomicyr
uni0508	Ljekomicyr
uni0509	ljekomicyr
uni050A	Njekomicyr
uni050B	njekomicyr
uni050C	Sjekomicyr
uni050D	sjekomicyr
uni050E	Tjekomicyr
uni050F	tjekomicyr
uni0510	Reversedzecyr
uni0511	reversedzecyr
uni0512	Elhookcyr
uni0513	elhookcyr
uni0514	Lhacyr
uni0515	lhacyr
uni0516	Rhacyr
uni0517	rhacyr
uni0518	Yaecyr
uni0519	yaecyr
uni051A	Qacyr
uni051B	qacyr
uni051C	Wecyr
uni051D	wecyr
uni051E	Kaaleutcyr
uni051F	kaaleutcyr
uni0520	Elmiddlehookcyr
uni0521	elmiddlehookcyr
uni0522	Enmiddlehookcyr
uni0523	enmiddlehookcyr
uni0524	Petailcyr
uni0525	petailcyr
uni0526	Shhatailcyr
uni0527	shhatailcyr
uni0528	Enhookleftcyr
uni0529	enhookleftcyr
uni052A	Dzzhecyr
uni052B	dzzhecyr
uni052C	Dchecyr
uni052D	dchecyr
uni052E	Eltailcyr
uni052F	eltailcyr
uni1C80	uni1C80
uni1C81	uni1C81
uni1C82	uni1C82
uni1C83	uni1C83
uni1C84	uni1C84
uni1C85	uni1C85
uni1C86	uni1C86
uni1C87	uni1C87
uni1C88	uni1C88
uni1C89	uni1C89
uni1C8A	uni1C8A
uni1D2B	Elsmallcyr
uni1D2C	uni1D2C
uni1D78	ENcyrmod
uni2DE0	uni2DE0
uni2DE1	uni2DE1
uni2DE2	uni2DE2
uni2DE3	uni2DE3
uni2DE4	uni2DE4
uni2DE5	uni2DE5
uni2DE6	uni2DE6
uni2DE7	uni2DE7
uni2DE8	uni2DE8
uni2DE9	uni2DE9
uni2DEA	uni2DEA
uni2DEB	uni2DEB
uni2DEC	uni2DEC
uni2DED	uni2DED
uni2DEE	uni2DEE
uni2DEF	uni2DEF
uni2DF0	uni2DF0
uni2DF1	uni2DF1
uni2DF2	uni2DF2
uni2DF3	uni2DF3
uni2DF4	uni2DF4
uni2DF5	uni2DF5
uni2DF6	uni2DF6
uni2DF7	uni2DF7
uni2DF8	uni2DF8
uni2DF9	uni2DF9
uni2DFA	uni2DFA
uni2DFB	uni2DFB
uni2DFC	uni2DFC
uni2DFD	uni2DFD
uni2DFE	uni2DFE
uni2DFF	uni2DFF
uniA640	Zemlya-cy
uniA641	zemlya-cy
uniA642	Dzelo-cy
uniA643	dzelo-cy
uniA644	DzeReversed-cy
uniA645	dzeReversed-cy
uniA646	Iota-cy
uniA647	iota-cy
uniA648	Djerv-cy
uniA649	djerv-cy
uniA64A	UkMonograph-cy
uniA64B	ukMonograph-cy
uniA64C	OmegaBroad-cy
uniA64D	omegaBroad-cy
uniA64E	YerNeutral-cy
uniA64F	yerNeutral-cy
uniA650	YeruBackYer-cy
uniA651	yeruBackyer-cy
uniA652	YatIotified-cy
uniA653	yatIotified-cy
uniA654	YuReversed-cy
uniA655	yuReversed-cy
uniA656	IotifiedA-cy
uniA657	iotifieda-cy
uniA658	YusClosedlittle-cy
uniA659	yusClosedlittle-cy
uniA65A	YusBlended-cy
uniA65B	yusBlended-cy
uniA65C	YusiotifiedClosedLittle-cy
uniA65D	yusiotifiedClosedLittle-cy
uniA65E	Yn-cy
uniA65F	yn-cy
uniA660	TseReversed-cy
uniA661	tseReversed-cy
uniA662	DeSoft-cy
uniA663	deSoft-cy
uniA664	ElSoft-cy
uniA665	elSoft-cy
uniA666	EmSoft-cy
uniA667	emSoft-cy
uniA668	OMonocular-cy
uniA669	oMonocular-cy
uniA66A	OBinocular-cy
uniA66B	oBinocular-cy
uniA66C	ODoubleMonocular-cy
uniA66D	oDoubleMonocular-cy
uniA66E	omultiocular-cy
uniA66F	vzmetcomb-cy
uniA670	tenmillionscomb-cy
uniA671	hundredmillionscomb-cy
uniA672	thousandmillionscomb-cy
uniA673	asterisk-cy
uniA674	ieukrainiancomb-cy
uniA675	icomb-cy
uniA676	yicomb-cy
uniA677	ucomb-cy
uniA678	hardsigncomb-cy
uniA679	yerucomb-cy
uniA67A	softsigncomb-cy
uniA67B	omegacomb-cy
uniA67C	kavykacomb-cy
uniA67D	payerokcomb-cy
uniA67E	kavyka-cy
uniA67F	payerok-cy
uniA680	Dwe-cy
uniA681	dwe-cy
uniA682	Dzwe-cy
uniA683	dzwe-cy
uniA684	Zhwe-cy
uniA685	zhwe-cy
uniA686	Cche-cy
uniA687	cche-cy
uniA688	Dzze-cy
uniA689	dzze-cy
uniA68A	TeWithMiddleHook-cy
uniA68B	tewithmiddlehook-cy
uniA68C	Twe-cy
uniA68D	twe-cy
uniA68E	Tswe-cy
uniA68F	tswe-cy
uniA690	Tsse-cy
uniA691	tsse-cy
uniA692	Tche-cy
uniA693	tche-cy
uniA694	Hwe-cy
uniA695	hwe-cy
uniA696	Shwe-cy
uniA697	shwe-cy
uniA698	DoubleO-cy
uniA699	doubleo-cy
uniA69A	CrossedO-cy
uniA69B	crossedo-cy
uniA69C	modifierhardsign-cy
uniA69D	modifiersoftsign-cy
uniA69E	efcomb-cy
uniA69F	iotifiedecomb-cy
uniFE2E	titlolefthalfcomb-cy
uniFE2F	titlorighthalfcomb-cy
u1E030	u1E030
u1E031	u1E031
u1E032	u1E032
u1E033	u1E033
u1E034	u1E034
u1E035	u1E035
u1E036	u1E036
u1E037	u1E037
u1E038	u1E038
u1E039	u1E039
u1E03A	u1E03A
u1E03B	u1E03B
u1E03C	u1E03C
u1E03D	u1E03D
u1E03E	u1E03E
u1E03F	u1E03F
u1E040	u1E040
u1E041	u1E041
u1E042	u1E042
u1E043	u1E043
u1E044	u1E044
u1E045	u1E045
u1E046	u1E046
u1E047	u1E047
u1E048	u1E048
u1E049	u1E049
u1E04A	u1E04A
u1E04B	u1E04B
u1E04C	u1E04C
u1E04D	u1E04D
u1E04E	u1E04E
u1E04F	u1E04F
u1E050	u1E050
u1E051	u1E051
u1E052	u1E052
u1E053	u1E053
u1E054	u1E054
u1E055	u1E055
u1E056	u1E056
u1E057	u1E057
u1E058	u1E058
u1E059	u1E059
u1E05A	u1E05A
u1E05B	u1E05B
u1E05C	u1E05C
u1E05D	u1E05D
u1E05E	u1E05E
u1E05F	u1E05F
u1E060	u1E060
u1E061	u1E061
u1E062	u1E062
u1E063	u1E063
u1E064	u1E064
u1E065	u1E065
u1E066	u1E066
u1E067	u1E067
u1E068	u1E068
u1E069	u1E069
u1E06A	u1E06A
u1E06B	u1E06B
u1E06C	u1E06C
u1E06D	u1E06D
u1E08F	u1E08F
Decyr.loclBGR	Decyr.loclBGR
Zhecyr.loclBGR	Zhecyr.loclBGR
Kacyr.loclBGR	Kacyr.loclBGR
Elcyr.loclBGR	Elcyr.loclBGR
vecyr.loclBGR	vecyr.loclBGR
gecyr.loclBGR	gecyr.loclBGR
decyr.loclBGR	decyr.loclBGR
zhecyr.loclBGR	zhecyr.loclBGR
zecyr.loclBGR	zecyr.loclBGR
icyr.loclBGR	icyr.loclBGR
ishortcyr.loclBGR	ishortcyr.loclBGR
kacyr.loclBGR	kacyr.loclBGR
elcyr.loclBGR	elcyr.loclBGR
encyr.loclBGR	encyr.loclBGR
pecyr.loclBGR	pecyr.loclBGR
tecyr.loclBGR	tecyr.loclBGR
efcyr.loclBGR	efcyr.loclBGR
tsecyr.loclBGR	tsecyr.loclBGR
checyr.loclBGR	checyr.loclBGR
shacyr.loclBGR	shacyr.loclBGR
shchacyr.loclBGR	shchacyr.loclBGR
hardcyr.loclBGR	hardcyr.loclBGR
softcyr.loclBGR	softcyr.loclBGR
yucyr.loclBGR	yucyr.loclBGR
igravecyr.loclBGR	igravecyr.loclBGR
